"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
274918,"December 31, 2014",Alabama,Montgomery,"1700 block of Yarborough Street",1,0,N/A
273058,"December 30, 2014",Alabama,Arab,"Cranford Road",0,1,N/A
270704,"December 29, 2014",Pennsylvania,Philadelphia,"2500 block of North Orianna Street",0,1,N/A
272142,"December 29, 2014",Pennsylvania,Philadelphia,"2600 block of Palethorp Street",0,1,N/A
271095,"December 29, 2014",Florida,Tallahassee,"800 block of Dover Street",1,0,N/A
270843,"December 29, 2014",Michigan,Detroit,"11200 block of Roxbury St",1,0,N/A
281784,"December 27, 2014","North Carolina",Graham,"Red Head Tail",0,1,N/A
270733,"December 27, 2014",Wisconsin,Milwaukee,"6400 block of N. 73rd Street",1,0,N/A
270911,"December 27, 2014",Indiana,Greenwood,"600 block of Pine Lake Drive",0,1,N/A
270617,"December 26, 2014",Idaho,Castleford,N/A,0,1,N/A
270677,"December 26, 2014",Florida,Bradenton,"NW 21st Terrace",0,1,N/A
269697,"December 26, 2014",Missouri,"Kansas City","300 block of Hardesty Avenue",0,2,N/A
271262,"December 24, 2014","North Carolina","Mount Olive","Alum Springs Road",0,1,N/A
267879,"December 22, 2014",Pennsylvania,Philadelphia,"1300 block of S. Newkirk Street",0,2,N/A
268793,"December 22, 2014",Louisiana,Shreveport,"8800 block of Melanie Lane",0,1,N/A
267540,"December 22, 2014",Ohio,"New Paris","7800 block of New Paris Gettysburg Road",2,1,N/A
266694,"December 21, 2014",Illinois,Chicago,"5200 block of West Washington Boulevard",1,1,N/A
266891,"December 20, 2014","New York",Newark,"510 Mason Street",0,2,N/A
266407,"December 20, 2014",Illinois,Rockford,"3200 block of Montrose Avenue",4,0,N/A
280198,"December 17, 2014",Minnesota,"Saint Paul (Apple Valley)","1051 Ramsdell Dr",3,0,N/A
263656,"December 15, 2014","South Carolina",Simpsonville,"Garfield Lane",1,0,N/A
264102,"December 15, 2014",Illinois,Chicago,"5700 block of South Michigan Avenue",0,4,N/A
266794,"December 14, 2014",Arkansas,Ravenden,N/A,0,1,N/A
263769,"December 14, 2014",Tennessee,Memphis,"3300 block of Aden Street",0,1,N/A
263135,"December 13, 2014",California,Porterville,"22000 block of Highway 190",0,1,N/A
265528,"December 13, 2014",Louisiana,"New Orleans","S Rendon St and Eden St",0,1,N/A
261898,"December 11, 2014",Arizona,Phoenix,"18th Ave N and Pecos Rd",1,1,N/A
260835,"December 9, 2014","South Carolina",Easley,"Lacy Lane",0,1,N/A
261998,"December 8, 2014",Florida,"Pine Hills","Golf Club Parkway",0,1,N/A
260388,"December 7, 2014",Tennessee,Memphis,"4900 block of Lochinvar Drive",1,1,N/A
260612,"December 7, 2014",Texas,"Erath (county)",N/A,0,2,N/A
260232,"December 7, 2014",Texas,"San Antonio","2302 Delgado St",3,1,N/A
260475,"December 7, 2014",Florida,Miami,"NW 62nd St and NW 12th Ave",0,1,N/A
260619,"December 6, 2014",Florida,"Fort Pierce","2900 block of Avenue K",0,2,N/A
259660,"December 6, 2014",Illinois,Chicago,"2300 block of West Adams",0,1,N/A
260135,"December 5, 2014",Texas,Killeen,"800 Kern Rd",0,1,N/A
259631,"December 5, 2014",Illinois,"Villa Park","18 W 100 block of 14th St",1,0,N/A
249047,"December 4, 2014",Florida,"Lehigh Acres","4900 block of Banning Street",0,1,N/A
227241,"December 2, 2014","North Carolina",Charlotte,"Capps Hollow Drive ",0,1,N/A
226713,"November 30, 2014",Florida,Apopka,"West 13th Street ",0,1,N/A
226423,"November 29, 2014",Texas,Rice,N/A,0,1,N/A
263959,"November 29, 2014",Florida,"Palm Bay","Belvedere Rd NW",0,1,N/A
225506,"November 28, 2014",Georgia,"Atlanta (Sandy Springs)","1000 block of Brentwood Way",0,1,N/A
226407,"November 28, 2014",Texas,Childress,N/A,1,0,N/A
273773,"November 25, 2014",Texas,Katy,"4302 Falcon Meadow",1,0,N/A
