"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
271878,"December 31, 2014",Illinois,Chicago,"8600 block of South Racine",0,1,N/A
276134,"December 31, 2014",Florida,Tallahassee,"Seminole Drive",1,1,N/A
272746,"December 31, 2014",Texas,Navasota,N/A,0,1,N/A
271395,"December 30, 2014",Missouri,"Kansas City","39th Street and South Benton Avenue",0,1,N/A
273188,"December 30, 2014",Ohio,Cincinnati,"California Avenue and Reading Road",0,1,N/A
271119,"December 30, 2014",Ohio,Sharonville,"2300 East Kemper Road",0,2,N/A
271576,"December 30, 2014",Illinois,Chicago,"9000 block of South Ada Street",0,1,N/A
271046,"December 30, 2014",Wisconsin,Milwaukee,"4200 block of Sherman Boulevard",0,2,N/A
273042,"December 30, 2014",Alabama,Huntsville,"Bridge Road and Mountain Park Circle",1,0,N/A
271525,"December 30, 2014",Texas,Dayton,"FM 1409 and County Road 460",0,1,N/A
271363,"December 29, 2014",Louisiana,"New Orleans","Poydras and Bolivar",0,4,N/A
272120,"December 29, 2014",Mississippi,Natchez,"Prentiss Street",1,0,N/A
271170,"December 29, 2014",Michigan,Inkster,"Beech and Harriet",1,0,N/A
270557,"December 29, 2014","West Virginia",Charleston,"Greenwood Ave",1,1,N/A
270656,"December 28, 2014",Louisiana,Youngsville,"Austin Rd",1,1,N/A
271384,"December 28, 2014",Mississippi,Tylertown,"Kirklin Road",1,0,N/A
270512,"December 28, 2014",Tennessee,Memphis,"1600 block of Walker Avenue",0,1,N/A
270667,"December 28, 2014","North Carolina",Wilmington,"400 block of Henry Street",0,1,N/A
270444,"December 28, 2014",Michigan,"Grand Rapids","1836 Mason Street Northeast",0,2,N/A
270440,"December 28, 2014",Indiana,"Fort Wayne","1400 block of Thompson",0,1,N/A
270195,"December 27, 2014",Florida,"Miami Gardens","2900 block of NW 174th Street",0,1,N/A
270051,"December 27, 2014",California,Oakland,"3500 block of 38th Avenue",0,1,N/A
270009,"December 27, 2014",Arkansas,"Little Rock","72123 Stevenson Dr",0,2,N/A
269677,"December 27, 2014",Iowa,Traer,"Ridge Road",1,0,N/A
269240,"December 26, 2014","District of Columbia",Washington,"28 Hanover Place NW",0,1,N/A
269304,"December 26, 2014",Wisconsin,Madison,"914 W. Badger Road",0,1,N/A
270190,"December 26, 2014",Florida,Miami,"1200 block of NW 52nd Street",1,0,N/A
269129,"December 26, 2014",Illinois,Chicago,"700 block of East 92nd Place",0,1,N/A
269072,"December 26, 2014","West Virginia",Cameron,"North Avenue",1,1,N/A
270117,"December 26, 2014",Alabama,Birmingham,"Pike Road and Avenue I",0,1,N/A
269923,"December 26, 2014",Louisiana,Shreveport,"200 block of Lake Street",1,2,N/A
269518,"December 26, 2014",Illinois,Chicago,"8000 block of S Muskegon Ave",0,2,N/A
276774,"December 26, 2014",Idaho,Blackfoot,N/A,1,0,N/A
269025,"December 25, 2014",Kentucky,Frankfort,"Taylor Avenue",1,0,N/A
268784,"December 25, 2014",Michigan,Detroit,"4100 block of Virginia Park",1,0,N/A
268928,"December 25, 2014",California,Oakland,"45th and Market Street",0,2,N/A
268893,"December 25, 2014","South Carolina",Charleston,"Jackson Street and Hanover Street",1,0,N/A
1435423,"December 25, 2014","District of Columbia",Washington,"63 Galveston Pl SW",0,1,N/A
269712,"December 24, 2014",Pennsylvania,Pittsburgh,"Warrington Avenue and Craighead Street",0,2,N/A
270363,"December 23, 2014",Texas,Houston,"8751 Broadway St",1,0,N/A
