"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2311246,"May 24, 2022",Ohio,Akron,"1000 block of Biruta St",1,0,N/A
2311139,"May 24, 2022",Virginia,Woodbridge,"15300 block of Gatehouse Terrace",0,1,N/A
2311103,"May 24, 2022",Maryland,Baltimore,"6200 block of O’Donnell St",0,1,N/A
2310798,"May 24, 2022","South Carolina","North Charleston","Dorchester Rd",0,1,N/A
2310231,"May 24, 2022",Georgia,Lawrenceville,"Pine Ln",0,1,N/A
2309646,"May 23, 2022",Kentucky,Elizabethtown,"200 block of Buford Ln",0,1,N/A
2309729,"May 23, 2022",Pennsylvania,Philadelphia,"1801 W Pike St",0,3,N/A
2309684,"May 23, 2022","District of Columbia",Washington,"1200 block of N Capitol St",0,1,N/A
2309553,"May 23, 2022",Wisconsin,Milwaukee,"N 89th and W Mill Rd",0,2,N/A
2309497,"May 23, 2022",Ohio,Cleveland,"9707 Columbia Ave",1,0,N/A
2310144,"May 23, 2022",Pennsylvania,Catasauqua,"Railroad St",0,1,N/A
2309230,"May 23, 2022",Illinois,Chicago,"3300 block of W Madison St",0,1,N/A
2308760,"May 22, 2022",Wisconsin,Milwaukee,N/A,0,1,N/A
2309872,"May 22, 2022","North Carolina",Clayton,"Sequoia Dr",0,2,N/A
2308980,"May 22, 2022",Illinois,Chicago,"7700 block of S Essex Ave",0,2,N/A
2309193,"May 22, 2022",Missouri,"Kansas City","Campbell St and E 79th Ter",1,0,N/A
2308835,"May 22, 2022",Alabama,Riverside,"2368 Depot St",4,0,N/A
2309479,"May 22, 2022",Colorado,"Colorado Springs","750 Citadel Dr E",0,2,N/A
2309106,"May 22, 2022",Wisconsin,"La Crosse","1900 block of S 7th St",1,1,N/A
2309499,"May 22, 2022",California,"Los Angeles","27th St and Vermont Ave",0,2,N/A
2309490,"May 22, 2022",California,Pomona,"Kingsley Ave and San Antonio Ave",0,2,N/A
2308819,"May 22, 2022","South Carolina",Newberry,"Wise St",1,0,N/A
2308815,"May 22, 2022","South Carolina",Newberry,"Eleanor St and Wise St",3,0,N/A
2309462,"May 22, 2022",Georgia,Atlanta,"6800 block of Kimberly Mill Rd",0,1,N/A
2308720,"May 22, 2022",Texas,Amarillo,"12000 block of Lazy 2 Rd",0,1,N/A
2309307,"May 22, 2022",Ohio,Toledo,N/A,0,1,N/A
2308486,"May 22, 2022","New York",Bronx,"500 Trinity Ave",0,1,N/A
2308580,"May 22, 2022",Ohio,Toledo,"3600 block of Hoiles Ave",0,1,N/A
2309264,"May 22, 2022",Florida,Jacksonville,"2015 Kings Rd",0,1,N/A
2308594,"May 22, 2022",Maryland,Baltimore,"1900 block of N Collington Ave",1,2,N/A
2309112,"May 22, 2022",Louisiana,"New Orleans","Royal St and Saint Louis St",0,1,N/A
2309273,"May 22, 2022",Indiana,Gary,"2200 Virginia St",1,0,N/A
2309598,"May 22, 2022","New York",Brooklyn,"E 39th St and Glenwood Rd",0,1,N/A
2309172,"May 21, 2022",Mississippi,Jackson,"4634 Village Dr",1,0,N/A
2311034,"May 21, 2022",Illinois,"Chicago Heights (Lynwood)","1600 block of Glenwood Dyer Rd",1,0,N/A
2308096,"May 21, 2022",Indiana,Goshen,"1204 Rosemare Ct",2,3,N/A
2308185,"May 21, 2022",Nebraska,Omaha,"N 40th St and Corby St",0,1,N/A
2308920,"May 21, 2022",Kentucky,Louisville,"700 block of E Kentucky St",0,2,N/A
2308438,"May 21, 2022",Pennsylvania,Philadelphia,"Chestnut St and Columbus Blvd",0,3,N/A
2309395,"May 21, 2022",Michigan,Somerset,"10367 Mill St",1,0,N/A
2308237,"May 21, 2022",Colorado,Aurora,"2993 S Peoria St",1,1,N/A
2308112,"May 21, 2022",Louisiana,Gonzales,"2128 Louisiana 30 W",1,2,N/A
2308352,"May 21, 2022","South Carolina",Columbia,"300 block of Saddletrail Rd",1,1,N/A
2309518,"May 21, 2022",Ohio,Warren,"3100 block of Lodwick Dr NW",0,1,N/A
2308764,"May 21, 2022",Missouri,Columbia,"1800 E Prathersville Rd",1,0,N/A
2308503,"May 21, 2022",Texas,Houston,"1329 E 35th St",1,0,N/A
2308686,"May 21, 2022",Florida,"Saint Petersburg","4301 13th Ave S",0,1,N/A
2309221,"May 21, 2022",Washington,"Federal Way","2200 S 333rd St",0,1,N/A
2308395,"May 21, 2022",Washington,Tacoma,"S Yakima Ave and South 56th St",0,4,N/A
2308755,"May 21, 2022",Wisconsin,Milwaukee,"3300 block of N 6th St",0,2,N/A
2308431,"May 21, 2022",Alabama,Montgomery,"2100 block of Kingsbury Dr",0,2,N/A
2308610,"May 21, 2022",Utah,"Salt Lake City (West Valley City)","3100 S 4800 W",1,0,N/A
