"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
476886,"December 31, 2015",Iowa,"Des Moines","1300 block of E. 14th Street",0,1,N/A
476623,"December 31, 2015","New York",Brooklyn,"680 block of Willoughby Avenue",0,2,N/A
477966,"December 31, 2015",Illinois,"East Saint Louis","1607 Wilfred Ave",1,0,N/A
476578,"December 31, 2015",Florida,"Saint Petersburg","1110 32nd Street",0,1,N/A
476083,"December 31, 2015",Mississippi,"Rolling Fork","68 Frontage Road",1,0,N/A
493594,"December 31, 2015",Ohio,Akron,"800 block of East Crosier Street",0,1,N/A
476343,"December 31, 2015","New York",Jamaica,"109th Ave and Merrick Blvd",1,0,N/A
476321,"December 31, 2015",Louisiana,"New Orleans","1900 block of Amelia Street",0,6,N/A
475980,"December 30, 2015",Pennsylvania,Harrisburg,"14  South 17th street",1,0,N/A
475827,"December 30, 2015",Georgia,Lithonia,"4500 block of Idlewood Park",1,0,N/A
475645,"December 30, 2015",Pennsylvania,Philadelphia,"5900 block of Manning St",1,0,N/A
475884,"December 30, 2015",Illinois,Chicago,"3500 block of West Grenshaw Street",0,2,N/A
475874,"December 30, 2015",Illinois,Chicago,"3100 block of West Devon Avenue",0,1,N/A
475719,"December 29, 2015",Wisconsin,Milwaukee,"37th and Walnut",0,1,N/A
477504,"December 29, 2015","North Carolina",Sanford,"700 block of Charlotte Avenue",0,1,N/A
475430,"December 29, 2015",Indiana,Hammond,"900 block of 170th Street",0,2,N/A
476213,"December 29, 2015",Nevada,Reno,"Bishop Street",0,1,N/A
475910,"December 29, 2015",Nevada,Reno,"2300 block of Wedekind Road",0,1,N/A
474599,"December 29, 2015",Illinois,"Melrose Park","1100 block of 24th Ave",1,1,N/A
478538,"December 29, 2015",Nevada,Reno,"Fife Drive and Reed Street",1,0,N/A
475082,"December 29, 2015",Michigan,Flint,"3000 block of North Franklin Avenue",0,1,N/A
475030,"December 28, 2015",Virginia,Petersburg,"6101 Duncan Rd",0,1,N/A
475036,"December 28, 2015",Louisiana,Reserve,"600 block of Northwest Second Street",0,2,N/A
475481,"December 28, 2015",California,"Rancho Cucamonga","7429 Arbor Lane",0,1,N/A
473967,"December 28, 2015",Virginia,Richmond,"500 block of Northside Avenue",0,1,N/A
477268,"December 28, 2015",Georgia,Brunswick,"2600 block of Lee Street",0,1,N/A
474261,"December 28, 2015",Florida,Miami,"13624 SW 263 Terrace",0,1,N/A
476109,"December 28, 2015",Alabama,"Birmingham (Hoover)","2250 Little Valley Rd",0,1,N/A
477012,"December 28, 2015",Missouri,"Kansas City","10th Street and Monroe Avenue",1,1,N/A
473312,"December 27, 2015",Delaware,Wilmington,"North Broom Street and West Third Street",0,2,N/A
473340,"December 27, 2015","New Mexico",Albuquerque,"4300 Camino Bello SW",1,2,N/A
545306,"December 27, 2015",Louisiana,Lafayette,"Congress Street",2,0,N/A
474037,"December 27, 2015",California,Stockton,"Holman Road and Hammer Lane",0,1,N/A
473825,"December 27, 2015",California,"Crows Landing","Marshall Road",0,1,N/A
472694,"December 27, 2015",Ohio,Lewistown,"6000 block of Co Rd 21",1,0,N/A
474374,"December 27, 2015","North Carolina",Fayetteville,"Mike Street",0,1,N/A
472675,"December 26, 2015",Pennsylvania,Philadelphia,"6700 block of Leeds St",0,1,N/A
472196,"December 26, 2015",Georgia,Atlanta,"400 block of Holderness Street",1,0,N/A
473937,"December 26, 2015","New York",Bronx,"2492 Devoe Terrace",0,1,N/A
473895,"December 26, 2015",Florida,"Saint Petersburg","Third Avenue South",1,1,N/A
