"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
272036,"December 31, 2014",Illinois,Pekin,"200 block of Derby Street",0,1,N/A
272331,"December 31, 2014",Texas,Katy,"2200 block of Highland Knolls Dr",0,1,N/A
271756,"December 31, 2014",Kentucky,Louisville,"5100 block of Rangoon Way",1,0,N/A
272768,"December 31, 2014",Florida,Miami,N/A,0,0,N/A
271905,"December 31, 2014",Texas,"San Antonio","North San Horacio",0,0,N/A
271316,"December 30, 2014","North Dakota",Fargo,"900 block of North Pacific Avenue",0,0,N/A
271012,"December 30, 2014","South Carolina","Myrtle Beach","3rd Avenue S. and Highway 15",0,1,N/A
271220,"December 30, 2014",Florida,Kissimmee,"4101 Pleasant Hill Road",0,1,N/A
271531,"December 30, 2014",Texas,Katy,"Highland Knolls Dr and S Mason Rd",0,1,N/A
271302,"December 30, 2014","North Carolina",Salemburg,"200 block of Lakewood School Rd",1,0,N/A
271410,"December 29, 2014",Kansas,Haysville,"7800 block of South Broadway",1,0,N/A
271805,"December 29, 2014",Arkansas,Sherwood,"17413 Batesville Pike",1,0,N/A
270596,"December 29, 2014",Indiana,Indianapolis,"3100 block of East 10th Street",1,0,N/A
270718,"December 28, 2014",Pennsylvania,Bensalem,"1000 block of Bobolink Drive",0,1,N/A
270503,"December 28, 2014",Pennsylvania,Daisytown,"McGirts Road",1,0,N/A
270656,"December 28, 2014",Louisiana,Youngsville,"Austin Rd",1,1,N/A
270246,"December 28, 2014",Utah,"Stansbury Park","Aberdeen Lane and Merion Drive",1,0,N/A
270014,"December 28, 2014",Florida,Jacksonville,"3700 block of University Club Boulevard",1,0,N/A
271010,"December 28, 2014",Georgia,Riverdale,"Grey Fox Way",0,1,N/A
271007,"December 28, 2014",Idaho,Meridian,"2600 block of Eagle Road",0,0,N/A
271389,"December 27, 2014",Florida,"Fort Pierce","500 block of North 13th Street",0,1,N/A
269528,"December 27, 2014",Ohio,Cincinnati,"4061 President Drive",1,0,N/A
271447,"December 27, 2014",Massachusetts,"North Adams","Chase Ave",0,0,N/A
270060,"December 27, 2014",California,Salinas,"700 block of E. Alisal Street",0,1,N/A
269532,"December 27, 2014",Tennessee,Memphis,"1800 block of Denison Street",2,0,N/A
270453,"December 27, 2014","South Carolina",Loris,"3200 U.S. 701 Bypass",0,0,N/A
269830,"December 27, 2014",Pennsylvania,California,"California Road",1,0,N/A
270023,"December 27, 2014",Alabama,"Holly Pond","Meadow Dr",1,0,N/A
269120,"December 26, 2014",Illinois,Chicago,"2900 block of West Montrose Avenue",0,0,N/A
268976,"December 26, 2014",Texas,Rhome,"12000 block of Carpenter Ln",1,0,N/A
270139,"December 26, 2014",Texas,Southlake,"Farm Road 1709 and Tower Road",0,0,N/A
268796,"December 25, 2014",California,Anaheim,"900 block of Country Glen Way",0,1,N/A
269396,"December 25, 2014","New York",Syracuse,"655 Onondaga Avenue",0,1,N/A
269014,"December 24, 2014",Washington,Amboy,"37000 block of NE 216th Ave",0,0,N/A
268631,"December 24, 2014",Texas,Houston,"4130  Woodwind Lane",1,0,N/A
268571,"December 24, 2014",Florida,"Delray Beach","300 block of Franklin Club Dr",1,0,N/A
274372,"December 24, 2014",Washington,Vancouver,N/A,0,0,N/A
269012,"December 24, 2014",Washington,Tacoma,"1200 block of South 19th Street",0,0,N/A
268552,"December 23, 2014",Indiana,Indianapolis,"3100 block of Forest Manor Avenue",0,1,N/A
268232,"December 23, 2014",Tennessee,Memphis,"2300 block of Devoy Avenue",1,0,N/A
268126,"December 23, 2014",Missouri,Berkeley,"6800 North Hanley Road",1,0,N/A
271133,"December 23, 2014",Kentucky,Lawrenceburg,"Lynn Drive",0,0,N/A
268448,"December 23, 2014",Florida,Miami,"7501 NW 22nd Ave",0,1,N/A
268446,"December 23, 2014",Florida,Miami,"7525 NW 22nd Ave",0,1,N/A
267323,"December 22, 2014",Ohio,Delaware,"Belle Avenue",0,1,N/A
267850,"December 22, 2014",Missouri,"Saint Louis","Hampton and Walsh",0,1,N/A
266957,"December 22, 2014",Kentucky,Cynthiana,"200 block of Monroe Lane",1,0,N/A
267653,"December 22, 2014",Georgia,Americus,"104 Price Street",2,3,N/A
266918,"December 22, 2014","South Carolina",Aiken,"Richland Avenue",0,0,N/A
267618,"December 22, 2014",Texas,Cleveland,"County Rd 2218",0,1,N/A
267668,"December 22, 2014",Georgia,Columbus,"4740 Buena Vista Road",0,0,N/A
268406,"December 22, 2014","West Virginia","Scott Depot","US 60 and Browns Creek Rd",0,1,N/A
266863,"December 21, 2014",Nevada,"Las Vegas","3200 block of Liahona Way",0,1,N/A
267579,"December 21, 2014",Texas,Denton,"1541 Meadow St.",2,2,N/A
266987,"December 21, 2014",Georgia,Augusta,"Flintwood Drive",0,1,N/A
266788,"December 20, 2014",Pennsylvania,Philadelphia,"56th Street and Wyalusing Avenue",0,1,N/A
266042,"December 20, 2014",Ohio,Dayton,"2770 Miamisburg-Centerville Road",1,0,N/A
271681,"December 20, 2014",Tennessee,Knoxville,"915 Sevier Avenue",0,1,N/A
266481,"December 20, 2014","New Jersey",Newark,"427 Orange Street",0,2,N/A
266368,"December 20, 2014",Oklahoma,"Oklahoma City","2500 block of N. Moulton",1,0,N/A
266575,"December 19, 2014",Florida,"Daytona Beach","601 S. Martin Luther King Jr. Blvd.",0,0,N/A
266122,"December 19, 2014",Tennessee,Mascot,"8917 Millertown Pk",0,0,N/A
266304,"December 19, 2014",Indiana,Indianapolis,"4500 block of Devon Ct",1,0,N/A
265544,"December 18, 2014",Missouri,"Kansas City","6394 Troost Avenue",0,2,N/A
265209,"December 18, 2014",California,Benicia,"100 block of Panorama Drive",0,1,N/A
265438,"December 17, 2014","West Virginia","Cool Ridge","Blue Jay 6 Road",1,0,N/A
268358,"December 17, 2014",Alabama,"Center Point",N/A,0,0,N/A
266045,"December 17, 2014","South Carolina",Burton,N/A,0,0,N/A
265987,"December 17, 2014",Colorado,Denver,"Evans Avenue and Broadway",0,0,N/A
265083,"December 16, 2014",Missouri,"Saint Louis","4700 block of Dahlia Avenue",0,0,N/A
264687,"December 16, 2014",Pennsylvania,Braddock,N/A,1,0,N/A
266606,"December 16, 2014",California,Carlotta,"19700 block of CA-36",0,2,N/A
264314,"December 16, 2014",Washington,Lynnwood,"19300 block of Locust Way",0,0,N/A
266635,"December 16, 2014",Florida,Jacksonville,"Bert Road",1,0,N/A
265800,"December 16, 2014",Pennsylvania,Lebanon,"300 block of North Eighth Street",0,0,N/A
264812,"December 16, 2014","South Carolina",Burton,"Westwood Circle",0,0,N/A
264396,"December 16, 2014","North Carolina",Charlotte,"8600 block of Rolling Fields Road",1,0,N/A
264428,"December 15, 2014","New York",Rochester,"176 Arborwood Crescent",0,1,N/A
264046,"December 15, 2014",Pennsylvania,Glenolden,"600 block of Glenfield Avenue",1,3,N/A
263567,"December 15, 2014",Nevada,"Las Vegas","Las Vegas Boulevard and Harmon Avenue",1,1,N/A
265093,"December 15, 2014",Alabama,Birmingham,"6800 block of 5th Terrace North",1,0,N/A
264086,"December 15, 2014",Texas,Dallas,"Skillman St.",0,1,N/A
265117,"December 14, 2014",Alabama,Warrior,"1600 block of New Bethel School Road",0,0,N/A
264448,"December 14, 2014","North Carolina","High Point","2400 block of Glen Cove Way",0,1,N/A
264437,"December 14, 2014",Michigan,Lansing,"45 Stringham Road",0,1,N/A
263875,"December 14, 2014","New Mexico","Las Cruces","South Solano Drive",1,0,N/A
263230,"December 14, 2014","New York",Pittsford,"7 Brook Road",0,0,N/A
264252,"December 14, 2014",Vermont,"South Royalton","Roberts Road",0,1,N/A
265789,"December 14, 2014",Louisiana,"New Orleans (River Ridge)","9000 block of Sharla Dr",1,0,N/A
263309,"December 13, 2014",Missouri,Springfield,"1100 block of North Oak Park Drive",0,0,N/A
262972,"December 13, 2014",Ohio,Hamilton,"761 S. 12th St",0,2,N/A
262098,"December 12, 2014",Georgia,Decatur,"4373 Glenwood Rd",0,3,N/A
262360,"December 12, 2014",Indiana,Portage,"6090 Millrun Ave",1,1,N/A
262962,"December 12, 2014",Alabama,Birmingham,"3100 block of 31st Ave. North",1,0,N/A
262627,"December 12, 2014",Oklahoma,Tulsa,"E Pine St and N 161st E Ave",0,1,N/A
262255,"December 12, 2014",Colorado,Golden,"26300 block of Clear View Dr",1,0,N/A
262003,"December 11, 2014",Kansas,Topeka,"2015 SW Lincoln",0,2,N/A
263004,"December 11, 2014",Alabama,Birmingham,"7800 block of 2nd Avenue South",0,2,N/A
261911,"December 10, 2014",California,Antioch,"400 block of Via Dora Drive",0,1,N/A
262272,"December 10, 2014","District of Columbia",Washington,"2400 block of Ainger Pl SE",1,0,N/A
261114,"December 9, 2014",Indiana,"Fort Wayne","1300 block of Goshen Avenue",0,2,N/A
260873,"December 9, 2014",Texas,Tyler,"900 block of Charleston Dr.",1,0,N/A
260847,"December 9, 2014","New York",Brooklyn,"770 Eastern Parkway",1,0,N/A
263019,"December 9, 2014",Alabama,Birmingham,"5th Avenue",0,0,N/A
260544,"December 8, 2014",Kansas,Topeka,"300 block of SW Clay",0,1,N/A
260819,"December 8, 2014",Arkansas,Springdale,"South Thompson Street",0,1,N/A
260947,"December 8, 2014",Virginia,Chesterfield,"2900 block of Appleford Drive",0,1,N/A
260881,"December 8, 2014","North Carolina","Red Springs","Dixie Drive",1,1,N/A
260838,"December 8, 2014",Texas,Amarillo,N/A,0,0,N/A
261688,"December 8, 2014",Arizona,Scottsdale,"70th Street and Thomas Road",0,1,N/A
260179,"December 7, 2014",Nevada,"Las Vegas","3700 W Flamingo Rd",1,0,N/A
259957,"December 7, 2014",Connecticut,Bridgeport,"200 block of Huntington Turnpike",1,0,N/A
260400,"December 7, 2014",Virginia,"Virginia Beach","5200 block of Cleveland Street",1,1,N/A
259927,"December 6, 2014",Wyoming,Cheyenne,"1947 Bluegrass Circle",0,1,N/A
260022,"December 6, 2014",California,Richmond,"43rd Street and Roosevelt Avenue",1,0,N/A
259575,"December 6, 2014",Georgia,Atlanta,"800 block of Marietta Road",0,2,N/A
259978,"December 6, 2014","North Dakota",Fargo,"3501 13th Avenue S",0,0,N/A
260876,"December 6, 2014",Illinois,Chicago,"6600 block of South State Street",0,1,N/A
260213,"December 6, 2014",California,Fresno,"Balch Ave and Winery Ave",0,2,N/A
267940,"December 5, 2014",Washington,Dallesport,"45 Airport Way",0,0,N/A
265073,"December 5, 2014",Indiana,Merrillville,"7500 block of Whitcomb Street",0,0,N/A
265498,"December 5, 2014",Louisiana,"Baton Rouge","900 block of Woodhaven Street",1,0,N/A
249069,"December 5, 2014",Indiana,Indianapolis,"38th Street and Lafayette Road",0,2,N/A
248936,"December 5, 2014",California,Hollywood,"Hollywood and Highland",1,0,N/A
260719,"December 5, 2014",Colorado,"Colorado Springs","2500 block of E Pikes Peak Ave",0,0,N/A
259731,"December 4, 2014",California,Humboldt,"Lake Prairie Road",0,0,N/A
227347,"December 4, 2014",Maine,"Cape Neddick","130 Ogunquit Rd",1,0,N/A
248929,"December 4, 2014",Nevada,"Las Vegas","Decatur Boulevard",0,0,N/A
259561,"December 4, 2014","North Carolina",Gastonia,"913 E Davis Ave",0,0,N/A
259870,"December 4, 2014",Mississippi,Meridian,N/A,0,0,N/A
227426,"December 4, 2014",California,"San Leandro","Broadmoor Boulevard",0,0,N/A
259376,"December 3, 2014",Colorado,Pueblo,"1600 block of W. 13th Street",0,0,N/A
260168,"December 3, 2014",Michigan,Flint,"Western Road",0,0,N/A
227281,"December 3, 2014",Georgia,Atlanta,"County Line Road",1,0,N/A
271611,"December 3, 2014",Tennessee,Chattanooga,"5741 Bobby Dale Lane",0,0,N/A
227111,"December 3, 2014",Georgia,Atlanta,"Ashford Creek Dr",0,1,N/A
227516,"December 3, 2014",Alabama,Montgomery,"5900 block of Woodmere Boulevard",1,0,N/A
227448,"December 3, 2014",Michigan,Albion,"300 block of West Center Street",0,1,N/A
267884,"December 2, 2014",Alabama,Birmingham,"1000 block of 15th Place SW",0,1,N/A
399516,"December 2, 2014",Washington,Vancouver,"East 18th Street and Norris Road",0,0,N/A
227011,"December 2, 2014",Missouri,"Saint Louis","6000 block of Virginia Avenue",1,5,N/A
226400,"December 1, 2014",Texas,"San Antonio","1300 block of Coldwater Dr.",0,1,N/A
226336,"November 30, 2014",Kansas,"Valley Center","9400 block of W 73rd St N",0,1,N/A
226797,"November 30, 2014",Nevada,Elko,"Third Street and Juniper Street",1,0,N/A
226196,"November 30, 2014",California,Carson,"23000 block of Marbella Avenue",1,0,N/A
226485,"November 29, 2014",Texas,Amarillo,"300 block of South Austin St.",0,0,N/A
225947,"November 29, 2014","New York",Westbury,"Clinton Street",0,1,N/A
226111,"November 29, 2014",Oklahoma,Tulsa,"1600 block of North Evanston Avenue",0,1,N/A
225906,"November 28, 2014","New York",Wawarsing,N/A,0,0,N/A
225646,"November 27, 2014",Arizona,Glendale,N/A,1,0,N/A
225649,"November 27, 2014",Washington,Edmonds,"16400 block of 75th Avenue West",0,1,N/A
273615,"November 26, 2014",Washington,Kennewick,"203 North Dennis Street",0,1,N/A
225007,"November 26, 2014",Texas,Belton,"300 block of D N Watts Ln",1,0,N/A
225664,"November 26, 2014",Louisiana,Violet,"Riverpark Drive",1,0,N/A
224664,"November 25, 2014",Indiana,Hardinsburg,"7900 block of South County Road 700 East",1,0,N/A
225024,"November 25, 2014",Washington,Vancouver,"11716 NE 49th Street",1,0,N/A
225040,"November 25, 2014",Oregon,Salem,"Sandringham Drive NE",0,0,N/A
224597,"November 25, 2014",Arizona,Tempe,"Apache and McClintock",0,1,N/A
224773,"November 25, 2014",Tennessee,Cleveland,"1009 SW Phillips Street",1,0,N/A
224176,"November 24, 2014",Ohio,Warren,"Starlight Drive Northwest",1,0,N/A
224215,"November 23, 2014",California,"West Covina","1500 block of E. Elgenia Street",2,0,N/A
225374,"November 23, 2014",Alabama,Huntsville,"2400 block of Vining Avenue Northwest",0,1,N/A
225378,"November 23, 2014",Alabama,Birmingham,"83rd Street South and 4th Avenue South",0,1,N/A
223674,"November 22, 2014",Florida,Tallahassee,"3722 Caracus Ct",2,1,N/A
224224,"November 22, 2014",California,Sonora,"S Washington St and Theall St",1,2,N/A
224721,"November 22, 2014",Alabama,Tuscaloosa,"2600 block of 21st Street ",0,1,N/A
224226,"November 22, 2014",California,Seaside,"1600 block of Laguna Street",1,0,N/A
224299,"November 22, 2014",Connecticut,"New Haven","43 Orchard Street",0,1,N/A
223974,"November 22, 2014","New York",Amherst,"Sheridan Drive",0,0,N/A
224034,"November 21, 2014",Florida,Pensacola,"7500 block of Mobile Hwy",1,0,N/A
223556,"November 21, 2014",Texas,"El Paso","400 block of Duran",1,0,N/A
224723,"November 21, 2014",California,Rosedale,"4000 block of Jenkins Road",0,1,N/A
223777,"November 21, 2014",Ohio,Columbus,"Cleveland Avenue and East Dublin Granville Road",1,0,N/A
224726,"November 21, 2014",Louisiana,"New Orleans","5000 block of Coronado Drive",1,0,N/A
223877,"November 21, 2014",Louisiana,"New Orleans","Paris Avenue and Treasure Street",0,1,N/A
223280,"November 20, 2014",Oregon,Beaverton,"12000 block of SW Congestoga Drive",1,0,N/A
223665,"November 20, 2014",Alabama,Oneonta,"601 Kelsoe Rd",1,0,N/A
223169,"November 20, 2014",Texas,"San Antonio","Ingram and Callaghan",0,1,N/A
223486,"November 20, 2014","North Carolina",Salisbury,"917 South Main",0,0,N/A
222998,"November 20, 2014",Indiana,Indianapolis,"3800 block of East. Michigan Street",0,3,N/A
223567,"November 20, 2014",Pennsylvania,Philadelphia,"Stenton and East Mt. Airy Avenues",0,1,N/A
265052,"November 19, 2014",Georgia,Dalton,"200 block of Cappes Street",0,0,N/A
223066,"November 19, 2014",Kentucky,Louisville,N/A,0,0,N/A
222560,"November 19, 2014",Georgia,Dalton,"205 Cappes Street",0,0,N/A
224990,"November 19, 2014",Mississippi,Meridian,"1010 N Frontage Rd",0,1,N/A
222608,"November 19, 2014",Indiana,Indianapolis,"7500 block of East 35th Street ",1,0,N/A
223446,"November 19, 2014",Tennessee,Jackson,"500 block of Old Hickory Boulevard",0,1,N/A
222292,"November 18, 2014",Indiana,Indianapolis,"2428 E 38th St",1,0,N/A
224736,"November 18, 2014",Washington,Lakewood,"11000 block of Briar Road SW",1,1,N/A
222323,"November 18, 2014","North Carolina",Fayetteville,"4713 Rosehill Rd",1,1,N/A
335765,"November 18, 2014",Washington,Tacoma,"8300 block of 19th Ave. Ct. East",0,3,N/A
222702,"November 18, 2014",Ohio,Cleveland,"400 block of East 149th Street",0,1,N/A
222818,"November 18, 2014",Illinois,"Calumet City","714 State Line Rd",0,0,N/A
222177,"November 17, 2014",Texas,Laredo,N/A,0,1,N/A
222216,"November 17, 2014",Nevada,Sparks,"1900 block of Merchant St",0,0,N/A
222624,"November 17, 2014",California,"Berry Creek","Simpson Ranch Road",0,1,N/A
222925,"November 17, 2014",Michigan,Detroit,"Liddesdale Street",0,1,N/A
222103,"November 16, 2014",Washington,Deming,"5765 Mosquito Lake Rd",1,1,N/A
222040,"November 16, 2014",Texas,Galveston,"4504 Ave P 1/2",0,2,N/A
224746,"November 16, 2014",Texas,"El Paso","115 S. Durango",0,6,N/A
221474,"November 16, 2014",Ohio,"Pleasant Hill","6 East Monument Street",1,0,N/A
221298,"November 15, 2014",Washington,Spokane,"Montgomery and Post",0,1,N/A
224849,"November 14, 2014",Alabama,Hartford,N/A,0,1,N/A
221176,"November 14, 2014","South Carolina",Anderson,"Winston Drive",1,0,N/A
221379,"November 14, 2014",California,Porterville,"900 block of N. Lime Street",0,1,N/A
221395,"November 14, 2014",California,"Chula Vista","300 block of Center Street",1,0,N/A
221953,"November 14, 2014",Virginia,Richlands,"209 Rockbridge Avenue ",1,0,N/A
220094,"November 13, 2014",Indiana,Indianapolis,"900 block of West 34th Street.",0,1,N/A
220308,"November 13, 2014","New Jersey",Trenton,"Wilson Street",1,0,N/A
220496,"November 13, 2014",Wisconsin,Milwaukee,"8000 block of W. Green Tree Road",0,0,N/A
222173,"November 12, 2014",Ohio,Cleveland,"4700 block of West 130th Street",0,0,N/A
219807,"November 12, 2014","New Hampshire",Manchester,"58 Blucher Street",0,0,N/A
220055,"November 12, 2014",Texas,Dallas,"2100 block of East Ledbetter Dr. ",0,2,N/A
219645,"November 11, 2014",Georgia,Atlanta,"Parkway Drive",0,0,N/A
219684,"November 11, 2014",California,"Menlo Park","Willow Place",1,0,N/A
220830,"November 11, 2014",California,Perris,"1500 block of Palma Bonita",1,0,N/A
220022,"November 11, 2014",Iowa,"Des Moines",N/A,0,1,N/A
218980,"November 11, 2014",Arizona,Glendale,"67th and Glendale",0,1,N/A
219447,"November 11, 2014","North Carolina",Rockingham,"Poplar Street and Pecan Street",1,0,N/A
218393,"November 10, 2014",Indiana,Indianapolis,"5400 block of Lalista Court",0,0,N/A
218832,"November 10, 2014",Michigan,Wallace,"Rangeline Dr and No. 14 Rd",1,0,N/A
218670,"November 10, 2014",Texas,Katy,"4200 block of Barossa Valley Ln",0,1,N/A
447716,"November 10, 2014",Michigan,"Menominee (county)",N/A,1,0,N/A
219950,"November 10, 2014",Texas,"San Antonio",N/A,0,0,N/A
218908,"November 10, 2014",Texas,Houston,"4000 block of Mistissin Ln",0,1,N/A
218935,"November 10, 2014",Texas,"San Antonio","4600 block of West Commerce St.",0,0,N/A
217686,"November 9, 2014",Ohio,Columbus,"179 Wilson Ave",0,1,N/A
217858,"November 9, 2014","New York",Greece,"Stone Road",0,1,N/A
220328,"November 9, 2014",Alabama,Birmingham,"821 2nd Avenue North",1,1,N/A
217883,"November 9, 2014",California,"Los Angeles","Haskell Avenue and Victory Boulevard",1,0,N/A
218081,"November 9, 2014",Louisiana,Shreveport,"100 block of East Wilkinson Street",0,1,N/A
667320,"November 8, 2014",Indiana,"East Chicago","4001 block of Grand Boulevard",1,0,N/A
217798,"November 8, 2014",Texas,Houston,"6300 block of Tautenhahn",1,0,N/A
217875,"November 8, 2014",Kansas,"Kansas City","1100 block of Washington Avenue",1,0,N/A
216929,"November 7, 2014",California,Palmdale,"Cricket and Rancho Vista",0,1,N/A
221626,"November 7, 2014",Connecticut,Hartford,"241 Silver Lane",0,0,N/A
217269,"November 7, 2014",Oklahoma,Skiatook,N/A,0,0,N/A
216953,"November 6, 2014",California,"San Francisco","900 block of Connecticut Street ",0,1,N/A
216997,"November 6, 2014",Missouri,Barnhart,"1730 Old State Road M",1,0,N/A
216718,"November 6, 2014",Tennessee,Jackson,"1100 block of Timberlake Estates ",1,0,N/A
216724,"November 6, 2014",Illinois,Rockford,"East State and Bell School Road",0,0,N/A
217382,"November 5, 2014",Washington,Yakima,"US 12 and Ackley Rd",1,0,N/A
216115,"November 5, 2014","West Virginia",Charleston,"224 Campbells Creek Dr",1,0,N/A
217009,"November 5, 2014",Texas,Dallas,"Dale Crest",1,0,N/A
217169,"November 5, 2014",Texas,Dallas,"Webb Chapel Road and Larga Drive",1,0,N/A
215301,"November 4, 2014",Ohio,Lancaster,"641 N. Columbus St",0,0,N/A
